frames,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,lbp_10,lbp_11,lbp_12,lbp_13,lbp_14,lbp_15,lbp_16,lbp_17,lbp_18,lbp_19,lbp_20,lbp_21,lbp_22,lbp_23,lbp_24,lbp_25,lbp_26,lbp_27,lbp_28,lbp_29,lbp_30,lbp_31,lbp_32,lbp_33,lbp_34,lbp_35,lbp_36,lbp_37,lbp_38,lbp_39,lbp_40,lbp_41,lbp_42,lbp_43,lbp_44,lbp_45,lbp_46,lbp_47,lbp_48,lbp_49,lbp_50,lbp_51,lbp_52,lbp_53,lbp_54,lbp_55,lbp_56,lbp_57,lbp_58,optical_flow_0,optical_flow_1,optical_flow_2,optical_flow_3,Lip_Feature_1,Lip_Feature_2,Lip_Feature_3,Lip_Feature_4,Lip_Feature_5,Lip_Feature_6,Lip_Feature_7,Lip_Feature_8,Lip_Feature_9,Lip_Feature_10,labels,person
0001.jpg,218,330,275,583,873,751,516,431,437,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000312161,0.000805262,3.67883563,1.905479908,14.14213562,15.13274595,13.15294644,109.0183471,43.10452412,62.20128616,62.07253821,63.00793601,43.0464865,133.0037593,जल्दी,agni
0002.jpg,218,330,275,583,873,751,516,431,437,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000976805,0.002824366,3.706849575,1.886268616,23.02172887,24.0208243,22.02271555,103.0048543,45.04442252,66.12110102,65.03076195,66,45.01110974,127.0039369,जल्दी,agni
0003.jpg,218,330,275,583,873,751,516,431,437,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000247165,0.000546879,3.503586292,1.80157578,22.02271555,22.02271555,20,105.0047618,45.04442252,67.11929678,66.03029608,66.00757532,44.01136217,128.015624,जल्दी,agni
0004.jpg,218,330,275,583,873,751,516,431,437,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000201842,0.000403262,3.840142965,1.642347813,23.08679276,24.08318916,23,110.0181803,43.0464865,61.07372594,60.03332408,61,43.01162634,132.0340865,जल्दी,agni
0005.jpg,218,330,275,583,873,751,516,431,437,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000217036,0.000543184,3.671226263,1.678149939,22.02271555,22.02271555,21,113.0044247,43.0464865,61.07372594,60.00833275,60,42.01190308,134.0037313,जल्दी,agni
0006.jpg,218,330,275,583,873,751,516,431,437,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000251343,0.000600433,3.84019208,1.734582901,20.02498439,22.02271555,20,112.0178557,42.04759208,59.07622195,58.03447251,58,40.01249805,134.0335779,जल्दी,agni
0007.jpg,218,330,275,583,873,751,516,431,437,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000216003,0.000533448,3.473639011,1.871601582,22.02271555,22.02271555,21,112.0178557,42.01190308,60.03332408,60.00833275,60,41.01219331,133.0150367,जल्दी,agni
0008.jpg,218,330,275,583,873,751,516,431,437,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000386754,0.000899819,3.593433619,1.780167341,23.08679276,24.08318916,23,112.0178557,43.0464865,62.07253821,61.03277808,62.00806399,42.04759208,134.0335779,जल्दी,agni
0009.jpg,218,330,275,583,873,751,516,431,437,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000229676,0.000545737,3.511933565,1.799006104,23.02172887,23.08679276,22.02271555,113.039816,43.0464865,63.12685641,62.07253821,62.00806399,42.01190308,136.0588108,जल्दी,agni
0010.jpg,218,330,275,583,873,751,516,431,437,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000181675,0.000381738,3.814373493,1.70665133,23.08679276,23.08679276,21.02379604,108.0185169,44.04543109,64.07027392,62.03224968,63.00793601,43.01162634,131.0343466,जल्दी,agni
